"","EVENT_ID","ROLE","start","end","color","mid","dur"
"126",144,"TakeExposure",2025-07-29 00:57:19,2025-07-29 01:00:19,"royalblue",2025-07-29 00:58:49,180
"127",145,"SwitchFilter",2025-07-29 01:00:19,2025-07-29 01:00:19,"royalblue",2025-07-29 01:00:19,0
"128",146,"TakeExposure",2025-07-29 01:00:19,2025-07-29 01:03:20,"royalblue",2025-07-29 01:01:49.5,181
"129",147,"SwitchFilter",2025-07-29 01:03:20,2025-07-29 01:03:20,"royalblue",2025-07-29 01:03:20,0
"130",148,"TakeExposure",2025-07-29 01:03:20,2025-07-29 01:06:20,"royalblue",2025-07-29 01:04:50,180
"131",149,"SwitchFilter",2025-07-29 01:06:20,2025-07-29 01:06:20,"royalblue",2025-07-29 01:06:20,0
"132",150,"TakeExposure",2025-07-29 01:06:20,2025-07-29 01:09:21,"royalblue",2025-07-29 01:07:50.5,181
"133",151,"SwitchFilter",2025-07-29 01:09:21,2025-07-29 01:09:21,"royalblue",2025-07-29 01:09:21,0
"134",152,"TakeExposure",2025-07-29 01:09:21,2025-07-29 01:12:22,"royalblue",2025-07-29 01:10:51.5,181
"135",153,"Dither",2025-07-29 01:12:22,2025-07-29 01:12:33,"royalblue",2025-07-29 01:12:27.5,11
"136",155,"SwitchFilter",2025-07-29 01:12:33,2025-07-29 01:12:33,"royalblue",2025-07-29 01:12:33,0
"137",156,"TakeExposure",2025-07-29 01:12:33,2025-07-29 01:15:34,"royalblue",2025-07-29 01:14:03.5,181
"138",157,"SwitchFilter",2025-07-29 01:15:34,2025-07-29 01:15:34,"royalblue",2025-07-29 01:15:34,0
"139",158,"TakeExposure",2025-07-29 01:15:34,2025-07-29 01:18:35,"royalblue",2025-07-29 01:17:04.5,181
"140",159,"SwitchFilter",2025-07-29 01:18:35,2025-07-29 01:18:35,"royalblue",2025-07-29 01:18:35,0
"141",160,"TakeExposure",2025-07-29 01:18:35,2025-07-29 01:21:35,"royalblue",2025-07-29 01:20:05,180
"142",161,"SwitchFilter",2025-07-29 01:21:35,2025-07-29 01:21:35,"royalblue",2025-07-29 01:21:35,0
"143",162,"TakeExposure",2025-07-29 01:21:35,2025-07-29 01:24:36,"royalblue",2025-07-29 01:23:05.5,181
"144",163,"SwitchFilter",2025-07-29 01:24:36,2025-07-29 01:24:36,"royalblue",2025-07-29 01:24:36,0
"145",164,"TakeExposure",2025-07-29 01:24:36,2025-07-29 01:27:36,"royalblue",2025-07-29 01:26:06,180
"146",165,"SwitchFilter",2025-07-29 01:27:36,2025-07-29 01:27:36,"royalblue",2025-07-29 01:27:36,0
"147",166,"TakeExposure",2025-07-29 01:27:36,2025-07-29 01:30:37,"royalblue",2025-07-29 01:29:06.5,181
"148",167,"SwitchFilter",2025-07-29 01:30:37,2025-07-29 01:30:37,"royalblue",2025-07-29 01:30:37,0
"149",168,"TakeExposure",2025-07-29 01:30:37,2025-07-29 01:33:37,"royalblue",2025-07-29 01:32:07,180
