ExposureNumber,FilePath,FilterName,ExposureStart,Duration,Binning,CameraTemp,CameraTargetTemp,Gain,Offset,ADUStDev,ADUMean,ADUMedian,ADUMin,ADUMax,DetectedStars,HFR,HFRStDev,FWHM,Eccentricity,GuidingRMS,GuidingRMSArcSec,GuidingRMSRA,GuidingRMSRAArcSec,GuidingRMSDEC,GuidingRMSDECArcSec,FocuserPosition,FocuserTemp,RotatorPosition,PierSide,Airmass,ExposureStartUTC,MountRA,MountDec,ImageType
51,NA,G,2025-12-21T00:16:00Z,30,1x1,-19.8,-20,100,50,98.5129,523.5688,522,350,65535,616,2.5861,0.2687,3.872454998773799,0.42929785924910663,0.8169,0.6638,0.5147,0.4182,0.6344,0.5155,17515,50,90.0557,West,1.4912,2025-12-21T05:16:47Z,143.62270525777285,69.57119222448438,LIGHT
51,NA,B,2025-12-21T00:19:00Z,30,1x1,-20,-20,100,50,96.836,521.6343,520,326,65535,597,2.669,0.2688,4.0162161010741775,0.3739385560989786,1.0742,0.8728,0.7159,0.5816,0.8009,0.6507,17527,50,90.0557,West,1.484,2025-12-21T05:19:47Z,143.62689476267624,69.5711987905863,LIGHT
50,NA,L,2025-12-20T22:20:00Z,60,1x1,-20,-20,100,50,324.8614,674.9409,668,471,65535,859,2.4796,0.2726,3.839845047598135,0.4575635766409597,0.7455,0.6057,0.4816,0.3913,0.569,0.4623,17572,50,90.0557,West,1.9849,2025-12-21T03:20:56Z,148.85191695557322,69.31196041057274,LIGHT
50,NA,R,2025-12-21T00:13:00Z,30,1x1,-19.8,-20,100,50,112.6843,526.2147,524,347,65535,671,2.7272,0.3434,4.168564829171312,0.42437966050886,1.0348,0.8408,0.8463,0.6876,0.5954,0.4838,17530,50,90.0557,West,1.4998,2025-12-21T05:13:16Z,143.6185158843069,69.57118566318204,LIGHT
50,NA,G,2025-12-21T00:16:00Z,30,1x1,-19.8,-20,100,50,91.8286,523.6115,522,328,65535,571,2.8021,0.2962,4.257591770490414,0.4431983779667089,1.1657,0.9471,0.7474,0.6072,0.8946,0.7269,17515,50,90.0557,West,1.4925,2025-12-21T05:16:16Z,143.62270538793427,69.57119222992246,LIGHT
50,NA,B,2025-12-21T00:19:00Z,30,1x1,-20,-20,100,50,99.2148,521.6308,520,334,65535,614,2.5771,0.278,3.8621919178411472,0.4791819981580814,1.177,0.9563,0.9197,0.7472,0.7346,0.5968,17527,50,90.0557,West,1.4853,2025-12-21T05:19:17Z,143.6227046568056,69.57119219936573,LIGHT
49,NA,L,2025-12-20T22:09:00Z,60,1x1,-20,-20,100,50,321.9883,679.0202,672,467,65535,871,2.4846,0.295,3.921820821068561,0.482456284909039,0.6323,0.5138,0.4822,0.3918,0.409,0.3323,17603,50,90.0557,West,2.0461,2025-12-21T03:09:08Z,148.84353702816423,69.31194890811358,LIGHT
49,NA,R,2025-12-20T23:54:00Z,30,1x1,-20,-20,100,50,115.0106,527.0245,525,319,65535,665,2.5308,0.2813,3.739291413733026,0.4248468942100811,0.8265,0.6716,0.6611,0.5371,0.4961,0.4031,17581,50,90.0557,West,1.6112,2025-12-21T04:54:15Z,148.97344567359562,69.31212717687994,LIGHT
49,NA,G,2025-12-20T23:57:00Z,30,1x1,-20,-20,100,50,80.1305,524.7173,523,326,60750,538,3.0612,0.3786,4.897963045254807,0.456568920028295,1.0774,0.8754,0.9325,0.7577,0.5396,0.4384,17566,50,90.0557,West,1.5412,2025-12-21T04:57:15Z,143.60175885720608,69.571159430477,LIGHT
49,NA,B,2025-12-21T00:00:00Z,30,1x1,-20,-20,100,50,86.1582,522.4028,521,322,65535,564,2.8597,0.3136,4.513392211127721,0.4311139312608699,0.9183,0.7461,0.7698,0.6255,0.5006,0.4068,17578,50,90.0557,West,1.5332,2025-12-21T05:00:15Z,143.60175812635427,69.57115940002086,LIGHT
48,NA,L,2025-12-20T22:08:00Z,60,1x1,-19.9,-20,100,50,321.2658,679.4897,673,476,65535,861,2.4647,0.2711,3.8082701697748047,0.49214668222305974,0.7072,0.5746,0.5442,0.4421,0.4516,0.367,17603,50,90.0557,West,2.0515,2025-12-21T03:08:07Z,148.84353727461186,69.31194891175275,LIGHT
48,NA,R,2025-12-20T23:53:00Z,30,1x1,-20,-20,100,50,117.6377,526.9804,525,321,65535,666,2.4697,0.2489,3.5730242013177618,0.477423982861769,0.8433,0.6852,0.5487,0.4458,0.6404,0.5203,17581,50,90.0557,West,1.6128,2025-12-21T04:53:45Z,148.9734458052218,69.31212717889532,LIGHT
48,NA,G,2025-12-20T23:56:00Z,30,1x1,-20,-20,100,50,86.5027,524.7142,523,343,65535,560,2.8477,0.3217,4.43720394716191,0.41780998719019585,0.896,0.728,0.7589,0.6166,0.4764,0.3871,17566,50,90.0557,West,1.5427,2025-12-21T04:56:45Z,143.59756875909866,69.57115283551161,LIGHT
48,NA,B,2025-12-20T23:59:00Z,30,1x1,-20,-20,100,50,94.3843,522.418,521,337,65535,591,2.6042,0.2768,3.917939900048779,0.45223668775459624,0.7352,0.5973,0.4988,0.4052,0.5401,0.4388,17578,50,90.0557,West,1.5351,2025-12-21T04:59:33Z,143.60175830506168,69.57115940747036,LIGHT
