----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2025-07-27T17:48:05--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 15.75 GB--------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-07-27T17:48:55.8931|INFO|CameraChooserVM.cs|GetEquipment|203|Found 0 RisingCam Cameras
2025-07-27T17:48:55.9060|INFO|CameraChooserVM.cs|GetEquipment|218|Found 0 MallinCam Cameras
2025-07-27T17:48:55.9103|INFO|CameraChooserVM.cs|GetEquipment|244|Found 0 SBIG Cameras
2025-07-27T17:48:55.9113|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 SVBony Cameras
2025-07-27T17:48:55.9123|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 PlayerOne Cameras
2025-07-27T17:48:55.9264|INFO|CameraChooserVM.cs|GetEquipment|264|Found 0 ASTPAN Cameras
2025-07-27T17:48:55.9282|INFO|CameraChooserVM.cs|GetEquipment|278|Found 6 ASCOM Cameras
2025-07-27T17:48:57.9352|INFO|AlpacaInteraction.cs|GetCameras|47|Discovered Alpaca Device ASI Camera (1) - 2895D57F-94E6-428C-88EE-70A7EAF1B706 @ 100.97.249.92 100.97.249.92:11111 #0
2025-07-27T17:48:57.9358|INFO|AlpacaInteraction.cs|GetCameras|47|Discovered Alpaca Device ASI Camera (1) - 2895D57F-94E6-428C-88EE-70A7EAF1B706 @ 127.0.0.1 127.0.0.1:11111 #0
2025-07-27T17:48:57.9359|INFO|AlpacaInteraction.cs|GetCameras|47|Discovered Alpaca Device ASI Camera (1) - 2895D57F-94E6-428C-88EE-70A7EAF1B706 @ 192.168.1.119 192.168.1.119:11111 #0
2025-07-27T17:48:57.9360|INFO|CameraChooserVM.cs|GetEquipment|290|Found 3 Alpaca Cameras
2025-07-27T17:48:57.9376|INFO|CameraChooserVM.cs|GetEquipment|303|Found 0 Canon Cameras
2025-07-27T17:48:57.9989|INFO|CameraVM.cs|Disconnect|645|Disconnected Camera
2025-07-27T17:48:59.1740|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_WB_B with value 50
2025-07-27T17:48:59.1741|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_WB_R with value 50
2025-07-27T17:48:59.1742|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_GAMMA with value 50
2025-07-27T17:48:59.2541|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_OVERCLOCK with value 0
2025-07-27T17:48:59.2543|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_PATTERN_ADJUST with value 0
2025-07-27T17:48:59.2548|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_MONO_BIN with value 0
2025-07-27T17:48:59.2561|INFO|ASICamera.cs|Initialize|677|Camera ID: 
2025-07-27T17:48:59.3569|INFO|CameraVM.cs|ChooseCamera|448|Successfully connected Camera. Id: ZWO ASI2600MM Pro Name: ZWO ASI2600MM Pro DisplayName: ZWO ASI2600MM ProDriver Version: 1, 36, 0, 0
2025-07-27T17:48:59.8739|INFO|FilterWheelChooserVM.cs|GetEquipment|167|Found 1 Networked Filter Wheel Filter Wheels
2025-07-27T17:49:01.8775|INFO|AlpacaInteraction.cs|GetFilterWheels|95|Discovered Alpaca Device ZWO FilterWheel (1) - CAB12526-F1B1-4E1C-BD87-244BC82B6FC3 @ 100.97.249.92 100.97.249.92:11111 #0
2025-07-27T17:49:01.8777|INFO|AlpacaInteraction.cs|GetFilterWheels|95|Discovered Alpaca Device ZWO FilterWheel (1) - CAB12526-F1B1-4E1C-BD87-244BC82B6FC3 @ 127.0.0.1 127.0.0.1:11111 #0
2025-07-27T17:49:01.8778|INFO|AlpacaInteraction.cs|GetFilterWheels|95|Discovered Alpaca Device ZWO FilterWheel (1) - CAB12526-F1B1-4E1C-BD87-244BC82B6FC3 @ 192.168.1.119 192.168.1.119:11111 #0
2025-07-27T17:49:01.8779|INFO|FilterWheelChooserVM.cs|GetEquipment|193|Found 3 Alpaca Filter Wheels
2025-07-27T17:49:02.5899|INFO|FilterWheelVM.cs|Disconnect|324|Disconnected Filter Wheel
2025-07-27T17:49:03.3207|INFO|FilterWheelVM.cs|ChooseFW|272|Successfully connected Filter Wheel. Id: EFW #0 Name: EFW DisplayName: EFW Driver Version: 1.0
2025-07-27T17:49:05.3275|INFO|AlpacaInteraction.cs|GetFocusers|167|Discovered Alpaca Device PegasusAstro Focuser 1 - 28AFDD33-A148-4E88-832B-1FD56D2DE218 @ 127.0.0.1 127.0.0.1:11111 #0
2025-07-27T17:49:05.3277|INFO|AlpacaInteraction.cs|GetFocusers|167|Discovered Alpaca Device PegasusAstro Focuser 1 - 28AFDD33-A148-4E88-832B-1FD56D2DE218 @ 100.97.249.92 100.97.249.92:11111 #0
2025-07-27T17:49:05.3278|INFO|AlpacaInteraction.cs|GetFocusers|167|Discovered Alpaca Device PegasusAstro Focuser 1 - 28AFDD33-A148-4E88-832B-1FD56D2DE218 @ 192.168.1.119 192.168.1.119:11111 #0
2025-07-27T17:49:05.3278|INFO|FocuserChooserVM.cs|GetEquipment|67|Found 3 Alpaca Focusers
2025-07-27T17:49:05.3324|INFO|FocuserVM.cs|Disconnect|426|Disconnected Focuser
2025-07-27T17:49:05.5495|INFO|FocuserVM.cs|ChooseFocuser|324|Successfully connected Focuser. Id: ASCOM.PegasusAstroFocuser 1 Name: PegasusAstro Focuser 1 DisplayName: PegasusAstro Focuser 1 Driver Version: 2.10.4756.501
2025-07-27T17:49:07.5508|INFO|AlpacaInteraction.cs|GetRotators|119|Discovered Alpaca Device PegasusAstro Rotator 1 - 26A0FF85-67B3-4C8C-83E9-388A6C9993F3 @ 100.97.249.92 100.97.249.92:11111 #0
2025-07-27T17:49:07.5511|INFO|AlpacaInteraction.cs|GetRotators|119|Discovered Alpaca Device PegasusAstro Rotator 1 - 26A0FF85-67B3-4C8C-83E9-388A6C9993F3 @ 192.168.1.119 192.168.1.119:11111 #0
2025-07-27T17:49:07.5512|INFO|AlpacaInteraction.cs|GetRotators|119|Discovered Alpaca Device PegasusAstro Rotator 1 - 26A0FF85-67B3-4C8C-83E9-388A6C9993F3 @ 127.0.0.1 127.0.0.1:11111 #0
2025-07-27T17:49:07.5513|INFO|RotatorChooserVM.cs|GetEquipment|68|Found 3 Alpaca Rotators
2025-07-27T17:49:07.5561|INFO|RotatorVM.cs|Disconnect|438|Disconnected Rotator
2025-07-27T17:49:08.1657|INFO|RotatorVM.cs|Connect|398|Successfully connected Rotator. Id: ASCOM.PegasusAstro.Rotator 1 Name: PegasusAstro Rotator 1 DisplayName: PegasusAstro Rotator 1 Driver Version: 2.10.4756.501
2025-07-27T17:49:10.1687|INFO|AlpacaInteraction.cs|GetTelescopes|71|Discovered Alpaca Device ASI Mount - 4294906C-8209-4CE2-8B85-DEC6F82911C3 @ 192.168.1.119 192.168.1.119:11111 #0
2025-07-27T17:49:10.1690|INFO|AlpacaInteraction.cs|GetTelescopes|71|Discovered Alpaca Device ASI Mount - 4294906C-8209-4CE2-8B85-DEC6F82911C3 @ 100.97.249.92 100.97.249.92:11111 #0
2025-07-27T17:49:10.1691|INFO|AlpacaInteraction.cs|GetTelescopes|71|Discovered Alpaca Device ASI Mount - 4294906C-8209-4CE2-8B85-DEC6F82911C3 @ 127.0.0.1 127.0.0.1:11111 #0
2025-07-27T17:49:10.1692|INFO|TelescopeChooserVM.cs|GetEquipment|69|Found 3 Alpaca Telescopes
2025-07-27T17:49:10.1793|INFO|TelescopeVM.cs|Disconnect|763|Disconnected mount
2025-07-27T17:49:10.3068|INFO|AscomTelescope.cs|CheckMountTime|817|Mount UTC Time: 2025-07-27 21:49:10Z / System UTC Time: 2025-07-27 21:49:10Z; Difference: 0.307 seconds
2025-07-27T17:49:10.3448|INFO|AscomTelescope.cs|CheckMountTime|824|System time has been synced to the mount
2025-07-27T17:49:10.7395|INFO|TelescopeVM.cs|ChooseTelescope|518|Successfully connected mount. Id: ASCOM.ASIMount.Telescope Name: ASI Mount DisplayName: ASI Mount Driver Version: 6.5.23.0
2025-07-27T17:49:10.7488|INFO|PHD2Guider.cs|Connect|202|Connecting to PHD2 server at 127.0.0.1:4400
2025-07-27T17:49:16.6931|INFO|AlpacaInteraction.cs|GetSwitches|191|Discovered Alpaca Device PegasusAstro Switch 1 - 9D5D6E83-79C6-44DD-9C00-B685FD850A7B @ 100.97.249.92 100.97.249.92:11111 #0
2025-07-27T17:49:16.6934|INFO|AlpacaInteraction.cs|GetSwitches|191|Discovered Alpaca Device PegasusAstro Switch 1 - 9D5D6E83-79C6-44DD-9C00-B685FD850A7B @ 192.168.1.119 192.168.1.119:11111 #0
2025-07-27T17:49:16.6935|INFO|AlpacaInteraction.cs|GetSwitches|191|Discovered Alpaca Device PegasusAstro Switch 1 - 9D5D6E83-79C6-44DD-9C00-B685FD850A7B @ 127.0.0.1 127.0.0.1:11111 #0
2025-07-27T17:49:16.6935|INFO|SwitchChooserVM.cs|GetEquipment|71|Found 3 Alpaca Switch Hubs
2025-07-27T17:49:16.6978|INFO|SwitchVM.cs|Disconnect|298|Disconnected Switch
2025-07-27T17:49:23.4629|INFO|SwitchVM.cs|Connect|259|Successfully connected Switch. Id: ASCOM.Device1.Switch Name: PegasusAstro Switch 1 DisplayName: PegasusAstro Switch 1 Driver Version: 2.10.4756.501
2025-07-27T17:49:25.4645|INFO|FlatDeviceChooserVM.cs|GetEquipment|67|Found 0 Alpaca Cover Calibrators
2025-07-27T17:49:25.4708|INFO|FlatDeviceVM.cs|Disconnect|279|Disconnected Flat Device
2025-07-27T17:49:30.3379|INFO|FlatDeviceVM.cs|Connect|234|Successfully connected flat device. Id: ASCOM.WandererCover1.CoverCalibrator Name: WandererEmpire Device 1 DisplayName: WandererEmpire Device 1 Driver Version: 2.0
2025-07-27T17:49:32.3404|INFO|AlpacaInteraction.cs|GetWeatherDataSources|263|Discovered Alpaca Device PegasusAstro ObservingConditions 1 - 4CBC8870-BD05-4EA9-B446-0203E8F5615E @ 100.97.249.92 100.97.249.92:11111 #0
2025-07-27T17:49:32.3405|INFO|AlpacaInteraction.cs|GetWeatherDataSources|263|Discovered Alpaca Device PegasusAstro ObservingConditions 1 - 4CBC8870-BD05-4EA9-B446-0203E8F5615E @ 192.168.1.119 192.168.1.119:11111 #0
2025-07-27T17:49:32.3406|INFO|AlpacaInteraction.cs|GetWeatherDataSources|263|Discovered Alpaca Device PegasusAstro ObservingConditions 1 - 4CBC8870-BD05-4EA9-B446-0203E8F5615E @ 127.0.0.1 127.0.0.1:11111 #0
2025-07-27T17:49:32.3406|INFO|WeatherDataChooserVM.cs|GetEquipment|69|Found 3 Alpaca Observing Conditions
2025-07-27T17:49:32.3477|INFO|WeatherDataVM.cs|Disconnect|292|Disconnected Weather Device
2025-07-27T17:49:32.4876|INFO|AscomDevice.cs|GetProperty|379|Property ObservingConditions.CloudCover GET is not implemented in this driver (PegasusAstro ObservingConditions 1)
2025-07-27T17:49:32.4999|INFO|AscomDevice.cs|GetProperty|379|Property ObservingConditions.Pressure GET is not implemented in this driver (PegasusAstro ObservingConditions 1)
2025-07-27T17:49:32.5260|INFO|AscomDevice.cs|GetProperty|379|Property ObservingConditions.RainRate GET is not implemented in this driver (PegasusAstro ObservingConditions 1)
