DATE,LEVEL,SOURCE,MEMBER,LINE,MESSAGE
2025-07-08T22:36:52.2626,INFO,MeridianFlipTrigger.cs,ShouldTrigger,265,Meridian Flip - There is still time remaining - max remaining time 03:57:02, next instruction time 30, next instruction Category: Focuser, Item: RunAutofocus - and the telescope reports expected pier side pierWest. Automated Flip is not necessary.
2025-07-08T22:36:52.2627,INFO,SequenceItem.cs,Run,208,Starting Category: Focuser, Item: RunAutofocus
2025-07-08T22:36:52.5030,INFO,PHD2Guider.cs,StopGuiding,700,Phd2 - Stop Guiding skipped, as the app is already in state Looping
2025-07-08T22:36:52.5043,INFO,AutoFocusEngine.cs,RunAutoFocus,951,Starting AutoFocus with initial position 8060
2025-07-08T22:36:52.5109,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:36:55.3748,INFO,AutoFocusEngine.cs,StartBlindFocusPoints,792,Waiting on initial HFR analysis
2025-07-08T22:36:55.3784,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 8260
2025-07-08T22:36:56.2728,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 1.6177733627203787, HFR MAD: 0.06776127308966728, Detected Stars 11, Region: 0
2025-07-08T22:37:03.2127,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:37:04.8601,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 8210
2025-07-08T22:37:05.8478,INFO,HocusFocusStarDetection.cs,Detect,410,Average HFR: 2.4995244978250053, HFR MAD: 0.20316305214974184, Detected Stars 29, Region: 0
2025-07-08T22:37:11.1877,INFO,CameraVM.cs,Capture,737,Starting Exposure - Exposure Time: 1s; Filter: L; Gain: 250; Offset 50; Binning: 2x2;
2025-07-08T22:37:12.8294,INFO,FocuserVM.cs,MoveFocuserInternal,213,Moving Focuser to position 8160
