SubframeSelector module version 1.9.1
Subframe Scale,0.80000
Camera Gain,1.00000
Camera Resolution,"16-bit [0,65535]"
Site Local Midnight,24
Scale Unit,"Arcseconds (arcsec)"
Data Unit,"Normalized to [0,1]"
Trimming Factor,0.10
Structure Layers,5
Noise Layers,0
Hot Pixel Filter Radius,1
Noise Reduction Filter Radius,0
Sensitivity,0.50000
Peak Response,0.500
Maximum Star Distortion,0.600
Upper Limit,1.000
Pedestal,0
Subframe Region,0,0,0,0
PSF Type,"Moffat beta = 4"
Circular PSF,false
Approval expression,""
Weighting expression,""
Index,Approved,Locked,File,Weight,PSF Signal Weight,PSF SNR,PSF Scale,PSF Scale SNR,PSF Count,M*,N*,SNR,FWHM,Eccentricity,Altitude,Azimuth,Median,Median Mean Deviation,Noise,Noise Ratio,Stars,Star Residual,PSF Total Flux,PSF Total Power Flux,PSF Total Mean Flux,PSF Total Mean Power Flux,FWHM Mean Deviation,Eccentricity Mean Deviation,Star Residual Mean Deviation
130,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0193.fits",0.000000e+00,1.265320e-02,5.966658e-02,0.000000e+00,0.000000e+00,1108,1.1986e-03,1.7324e-03,1.8030e+00,3.1585e+00,5.5295e-01,5.0712e+01,7.5199e+01,5.584802e-02,1.745027e-03,1.7203e-03,9.1740e-01,1108,1.3570e-03,2.586724e+03,4.118044e+04,1.704300e+01,2.982049e-01,2.2101e-01,8.6300e-02,5.4103e-05
131,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0194.fits",0.000000e+00,1.498401e-02,6.156951e-02,0.000000e+00,0.000000e+00,1208,1.2003e-03,1.7343e-03,1.7994e+00,2.9579e+00,4.9997e-01,5.0948e+01,7.5285e+01,5.590905e-02,1.746523e-03,1.7220e-03,9.1713e-01,1205,1.3722e-03,2.630239e+03,4.220700e+04,1.989688e+01,3.836949e-01,2.2782e-01,9.5172e-02,6.5882e-05
132,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0195.fits",0.000000e+00,1.636770e-02,6.160415e-02,0.000000e+00,0.000000e+00,1297,1.1962e-03,1.7304e-03,1.8007e+00,2.8064e+00,4.8981e-01,5.1537e+01,7.5501e+01,5.569543e-02,1.738522e-03,1.7170e-03,9.1676e-01,1293,1.3583e-03,2.623372e+03,3.959065e+04,2.165352e+01,4.241058e-01,2.2137e-01,8.6331e-02,6.0925e-05
133,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0196.fits",0.000000e+00,1.387255e-02,6.215629e-02,0.000000e+00,0.000000e+00,1121,1.1963e-03,1.7298e-03,1.7991e+00,3.1196e+00,5.2141e-01,5.1737e+01,7.5574e+01,5.564964e-02,1.739367e-03,1.7160e-03,9.1729e-01,1116,1.3617e-03,2.633667e+03,4.466833e+04,1.827231e+01,3.485522e-01,2.4151e-01,1.0063e-01,6.3649e-05
134,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0197.fits",0.000000e+00,1.554816e-02,6.017555e-02,0.000000e+00,0.000000e+00,1245,1.1932e-03,1.7264e-03,1.7975e+00,2.9070e+00,4.8859e-01,5.1979e+01,7.5662e+01,5.529869e-02,1.727738e-03,1.7085e-03,9.1660e-01,1244,1.3497e-03,2.579969e+03,3.767395e+04,2.076036e+01,4.082338e-01,2.1825e-01,8.8816e-02,6.1150e-05
135,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0198.fits",0.000000e+00,1.518844e-02,6.149577e-02,0.000000e+00,0.000000e+00,1237,1.1878e-03,1.7207e-03,1.7936e+00,2.9514e+00,5.3554e-01,5.2560e+01,7.5872e+01,5.491721e-02,1.717889e-03,1.7010e-03,9.1601e-01,1234,1.3449e-03,2.596668e+03,3.815278e+04,1.997084e+01,3.772500e-01,2.2854e-01,8.7631e-02,5.8244e-05
136,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0199.fits",0.000000e+00,1.570072e-02,6.148220e-02,0.000000e+00,0.000000e+00,1269,1.1857e-03,1.7180e-03,1.7914e+00,2.8896e+00,4.9950e-01,5.2764e+01,7.5945e+01,5.468833e-02,1.714120e-03,1.6969e-03,9.1587e-01,1269,1.3339e-03,2.590136e+03,3.789795e+04,2.060873e+01,3.931267e-01,2.1759e-01,8.9085e-02,5.5483e-05
137,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0200.fits",0.000000e+00,1.488342e-02,6.240827e-02,0.000000e+00,0.000000e+00,1223,1.1846e-03,1.7178e-03,1.7887e+00,3.0029e+00,5.3828e-01,5.2999e+01,7.6030e+01,5.453574e-02,1.710915e-03,1.6945e-03,9.1636e-01,1219,1.3389e-03,2.605948e+03,3.895027e+04,1.937378e+01,3.573557e-01,2.3195e-01,1.0136e-01,5.9090e-05
138,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0201.fits",0.000000e+00,1.685859e-02,6.292195e-02,0.000000e+00,0.000000e+00,1310,1.1806e-03,1.7133e-03,1.7766e+00,2.8455e+00,4.9238e-01,5.3588e+01,7.6240e+01,5.426108e-02,1.705007e-03,1.6898e-03,9.1580e-01,1307,1.3330e-03,2.609382e+03,3.738729e+04,2.178003e+01,4.289321e-01,2.2933e-01,1.0069e-01,5.6454e-05
139,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0202.fits",0.000000e+00,1.604615e-02,6.306080e-02,0.000000e+00,0.000000e+00,1276,1.1798e-03,1.7126e-03,1.7791e+00,2.8912e+00,5.2650e-01,5.3793e+01,7.6313e+01,5.398642e-02,1.700074e-03,1.6857e-03,9.1546e-01,1275,1.3309e-03,2.605836e+03,3.835645e+04,2.069355e+01,3.938625e-01,2.1853e-01,9.1595e-02,5.7399e-05
140,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0203.fits",0.000000e+00,1.536171e-02,6.433049e-02,0.000000e+00,0.000000e+00,1229,1.1776e-03,1.7096e-03,1.7710e+00,2.9974e+00,5.1238e-01,5.4024e+01,7.6395e+01,5.362020e-02,1.694249e-03,1.6814e-03,9.1547e-01,1227,1.3244e-03,2.625215e+03,4.009126e+04,1.957892e+01,3.644657e-01,2.1431e-01,9.2659e-02,5.2662e-05
141,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0204.fits",0.000000e+00,1.629312e-02,6.693495e-02,0.000000e+00,0.000000e+00,1270,1.1725e-03,1.7010e-03,1.7597e+00,2.9566e+00,4.7492e-01,5.4625e+01,7.6607e+01,5.276569e-02,1.682887e-03,1.6713e-03,9.1442e-01,1264,1.3069e-03,2.661772e+03,4.011793e+04,2.026908e+01,3.791246e-01,2.2962e-01,9.6812e-02,4.9995e-05
142,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0205.fits",0.000000e+00,1.726686e-02,6.652883e-02,0.000000e+00,0.000000e+00,1326,1.1730e-03,1.7000e-03,1.7563e+00,2.8439e+00,4.7227e-01,5.4830e+01,7.6679e+01,5.261310e-02,1.680898e-03,1.6697e-03,9.1439e-01,1323,1.3161e-03,2.651185e+03,3.855492e+04,2.155561e+01,4.115999e-01,2.0974e-01,8.1509e-02,5.7730e-05
143,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0206.fits",0.000000e+00,1.614128e-02,6.709124e-02,0.000000e+00,0.000000e+00,1248,1.1727e-03,1.6971e-03,1.7575e+00,2.9851e+00,4.9166e-01,5.5065e+01,7.6761e+01,5.244526e-02,1.679130e-03,1.6671e-03,9.1444e-01,1248,1.3074e-03,2.658250e+03,4.111862e+04,2.006072e+01,3.793982e-01,2.1520e-01,8.9392e-02,5.1313e-05
144,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0207.fits",0.000000e+00,1.824926e-02,6.725551e-02,0.000000e+00,0.000000e+00,1381,1.1698e-03,1.6928e-03,1.7499e+00,2.7754e+00,4.9436e-01,5.5656e+01,7.6967e+01,5.217059e-02,1.673445e-03,1.6642e-03,9.1426e-01,1372,1.3124e-03,2.656813e+03,3.752782e+04,2.259673e+01,4.366091e-01,2.1231e-01,8.1059e-02,5.6615e-05
145,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0208.fits",0.000000e+00,1.776281e-02,6.786509e-02,0.000000e+00,0.000000e+00,1338,1.1679e-03,1.6889e-03,1.7469e+00,2.8261e+00,4.7854e-01,5.5858e+01,7.7037e+01,5.204852e-02,1.671978e-03,1.6626e-03,9.1391e-01,1336,1.3093e-03,2.666191e+03,3.882939e+04,2.185912e+01,4.197233e-01,2.1440e-01,9.2595e-02,5.3899e-05
146,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0209.fits",0.000000e+00,1.774448e-02,6.828316e-02,0.000000e+00,0.000000e+00,1342,1.1656e-03,1.6840e-03,1.7421e+00,2.8478e+00,4.7875e-01,5.6096e+01,7.7120e+01,5.175859e-02,1.667190e-03,1.6583e-03,9.1399e-01,1338,1.3075e-03,2.667518e+03,3.912895e+04,2.172713e+01,4.162087e-01,2.1614e-01,9.7000e-02,5.3536e-05
147,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0210.fits",0.000000e+00,2.005481e-02,6.834075e-02,0.000000e+00,0.000000e+00,1458,1.1610e-03,1.6771e-03,1.7353e+00,2.6481e+00,5.2481e-01,5.6693e+01,7.7325e+01,5.149920e-02,1.661298e-03,1.6544e-03,9.1318e-01,1454,1.2980e-03,2.662388e+03,3.583400e+04,2.444893e+01,4.834548e-01,2.0716e-01,9.8684e-02,5.3475e-05
148,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0211.fits",0.000000e+00,1.841752e-02,6.920555e-02,0.000000e+00,0.000000e+00,1381,1.1622e-03,1.6783e-03,1.7373e+00,2.8062e+00,4.9282e-01,5.6899e+01,7.7395e+01,5.152971e-02,1.662472e-03,1.6548e-03,9.1354e-01,1379,1.3055e-03,2.679765e+03,3.822928e+04,2.233436e+01,4.270477e-01,2.1528e-01,9.4476e-02,5.5969e-05
149,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0212.fits",0.000000e+00,1.822184e-02,6.915836e-02,0.000000e+00,0.000000e+00,1335,1.1591e-03,1.6730e-03,1.7339e+00,2.8524e+00,4.9553e-01,5.7144e+01,7.7479e+01,5.130082e-02,1.659405e-03,1.6510e-03,9.1330e-01,1331,1.3007e-03,2.672842e+03,3.899355e+04,2.204565e+01,4.314105e-01,2.2049e-01,7.9188e-02,5.3339e-05
150,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0213.fits",0.000000e+00,1.964754e-02,6.963684e-02,0.000000e+00,0.000000e+00,1400,1.1553e-03,1.6666e-03,1.7344e+00,2.7482e+00,4.7541e-01,5.7734e+01,7.7679e+01,5.107193e-02,1.654058e-03,1.6476e-03,9.1314e-01,1394,1.3021e-03,2.676531e+03,3.814832e+04,2.361266e+01,4.750912e-01,2.1535e-01,9.6579e-02,5.3532e-05
151,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0214.fits",0.000000e+00,1.898706e-02,7.083608e-02,0.000000e+00,0.000000e+00,1379,1.1521e-03,1.6606e-03,1.7305e+00,2.7783e+00,4.4749e-01,5.7940e+01,7.7749e+01,5.079728e-02,1.648012e-03,1.6426e-03,9.1274e-01,1376,1.2932e-03,2.691163e+03,3.895264e+04,2.256151e+01,4.347613e-01,1.7781e-01,1.0484e-01,5.3054e-05
152,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0215.fits",0.000000e+00,2.053901e-02,7.153328e-02,0.000000e+00,0.000000e+00,1432,1.1488e-03,1.6560e-03,1.7321e+00,2.7053e+00,4.6780e-01,5.8184e+01,7.7831e+01,5.069047e-02,1.646450e-03,1.6401e-03,9.1242e-01,1431,1.2974e-03,2.700374e+03,3.793289e+04,2.421786e+01,4.889105e-01,1.8449e-01,1.0680e-01,5.6569e-05
153,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0216.fits",0.000000e+00,2.066432e-02,7.376171e-02,0.000000e+00,0.000000e+00,1456,1.1370e-03,1.6354e-03,1.7231e+00,2.6990e+00,4.6985e-01,5.8776e+01,7.8029e+01,5.004959e-02,1.629335e-03,1.6256e-03,9.1120e-01,1454,1.2849e-03,2.717856e+03,3.826610e+04,2.374691e+01,4.564073e-01,2.0009e-01,1.0263e-01,5.5742e-05
154,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0217.fits",0.000000e+00,2.077841e-02,7.357924e-02,0.000000e+00,0.000000e+00,1487,1.1332e-03,1.6308e-03,1.7268e+00,2.6603e+00,4.8334e-01,5.8983e+01,7.8098e+01,4.995804e-02,1.626793e-03,1.6236e-03,9.1138e-01,1480,1.2782e-03,2.711046e+03,3.802030e+04,2.382899e+01,4.490128e-01,1.9393e-01,8.9802e-02,5.5272e-05
155,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0218.fits",0.000000e+00,2.038037e-02,7.412626e-02,0.000000e+00,0.000000e+00,1418,1.1279e-03,1.6228e-03,1.7269e+00,2.7521e+00,4.8361e-01,5.9225e+01,7.8179e+01,4.969863e-02,1.619444e-03,1.6174e-03,9.1115e-01,1416,1.2799e-03,2.710755e+03,3.936625e+04,2.317616e+01,4.474227e-01,2.2336e-01,8.5029e-02,5.8070e-05
156,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0219.fits",0.000000e+00,1.987719e-02,7.524566e-02,0.000000e+00,0.000000e+00,1391,1.1196e-03,1.6120e-03,1.7244e+00,2.8159e+00,4.5157e-01,5.9820e+01,7.8375e+01,4.934767e-02,1.610109e-03,1.6084e-03,9.1093e-01,1388,1.2659e-03,2.715983e+03,4.012061e+04,2.227120e+01,4.197180e-01,2.2507e-01,8.9904e-02,5.4389e-05
157,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0220.fits",0.000000e+00,2.126501e-02,7.590112e-02,0.000000e+00,0.000000e+00,1471,1.1163e-03,1.6078e-03,1.7250e+00,2.7033e+00,4.6403e-01,6.0023e+01,7.8441e+01,4.924086e-02,1.605206e-03,1.6047e-03,9.1020e-01,1469,1.2741e-03,2.721547e+03,3.869343e+04,2.365306e+01,4.474252e-01,2.0983e-01,8.7344e-02,5.9890e-05
158,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0221.fits",0.000000e+00,2.111596e-02,7.677666e-02,0.000000e+00,0.000000e+00,1418,1.1171e-03,1.6082e-03,1.7229e+00,2.7845e+00,4.5619e-01,6.0262e+01,7.8519e+01,4.924086e-02,1.606711e-03,1.6053e-03,9.1038e-01,1415,1.2671e-03,2.738261e+03,3.977959e+04,2.336955e+01,4.605756e-01,1.9045e-01,8.3909e-02,5.5877e-05
159,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0222.fits",0.000000e+00,2.158814e-02,7.831919e-02,0.000000e+00,0.000000e+00,1497,1.1075e-03,1.5973e-03,1.7268e+00,2.7056e+00,4.7435e-01,6.0862e+01,7.8714e+01,4.884413e-02,1.593231e-03,1.5948e-03,9.0963e-01,1492,1.2568e-03,2.747508e+03,3.904598e+04,2.345200e+01,4.324791e-01,1.7413e-01,8.2919e-02,5.3772e-05
160,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0223.fits",0.000000e+00,2.230042e-02,7.879104e-02,0.000000e+00,0.000000e+00,1509,1.1037e-03,1.5918e-03,1.7268e+00,2.6743e+00,4.5084e-01,6.1069e+01,7.8781e+01,4.869153e-02,1.587702e-03,1.5902e-03,9.0928e-01,1508,1.2606e-03,2.747724e+03,3.857661e+04,2.406928e+01,4.522164e-01,2.0089e-01,1.0473e-01,5.9322e-05
161,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0224.fits",0.000000e+00,1.965252e-02,8.051032e-02,0.000000e+00,0.000000e+00,1350,1.1000e-03,1.5872e-03,1.7321e+00,2.9586e+00,4.7398e-01,6.1316e+01,7.8861e+01,4.849316e-02,1.583885e-03,1.5851e-03,9.0957e-01,1346,1.2503e-03,2.768613e+03,4.322352e+04,2.091453e+01,3.852361e-01,2.1878e-01,9.9709e-02,5.4833e-05
162,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0225.fits",0.000000e+00,1.914833e-02,8.179721e-02,0.000000e+00,0.000000e+00,1336,1.0982e-03,1.5855e-03,1.7263e+00,3.0060e+00,4.9824e-01,6.1943e+01,7.9061e+01,4.832532e-02,1.578567e-03,1.5805e-03,9.0915e-01,1335,1.2431e-03,2.782671e+03,4.391099e+04,2.018313e+01,3.600112e-01,1.7905e-01,8.6394e-02,5.0428e-05
163,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0226.fits",0.000000e+00,1.973854e-02,8.229510e-02,0.000000e+00,0.000000e+00,1329,1.0938e-03,1.5815e-03,1.7341e+00,3.0001e+00,4.5650e-01,6.2150e+01,7.9127e+01,4.818798e-02,1.574171e-03,1.5767e-03,9.0894e-01,1326,1.2379e-03,2.784376e+03,4.397818e+04,2.065953e+01,3.812506e-01,2.3776e-01,9.1858e-02,5.3518e-05
164,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0227.fits",0.000000e+00,2.066388e-02,8.152072e-02,0.000000e+00,0.000000e+00,1431,1.0922e-03,1.5797e-03,1.7327e+00,2.8161e+00,4.9381e-01,6.2395e+01,7.9204e+01,4.809643e-02,1.570530e-03,1.5747e-03,9.0850e-01,1427,1.2509e-03,2.767644e+03,4.150009e+04,2.169826e+01,3.829396e-01,2.2253e-01,9.9693e-02,5.7258e-05
165,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0228.fits",0.000000e+00,2.174197e-02,8.197758e-02,0.000000e+00,0.000000e+00,1428,1.0888e-03,1.5765e-03,1.7342e+00,2.8096e+00,4.8562e-01,6.2998e+01,7.9394e+01,4.797436e-02,1.566337e-03,1.5712e-03,9.0839e-01,1426,1.2524e-03,2.769334e+03,4.082453e+04,2.269604e+01,4.279618e-01,2.1645e-01,1.1174e-01,5.9006e-05
166,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0229.fits",0.000000e+00,2.161038e-02,8.259255e-02,0.000000e+00,0.000000e+00,1461,1.0884e-03,1.5748e-03,1.7272e+00,2.8080e+00,4.6364e-01,6.3201e+01,7.9457e+01,4.782177e-02,1.562527e-03,1.5678e-03,9.0846e-01,1461,1.2405e-03,2.773672e+03,4.104414e+04,2.246714e+01,4.086026e-01,2.2395e-01,9.9488e-02,5.5948e-05
167,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0230.fits",0.000000e+00,2.063240e-02,8.328302e-02,0.000000e+00,0.000000e+00,1375,1.0867e-03,1.5724e-03,1.7333e+00,2.9363e+00,5.6385e-01,6.3447e+01,7.9533e+01,4.779125e-02,1.562446e-03,1.5671e-03,9.0852e-01,1367,1.2482e-03,2.784028e+03,4.313793e+04,2.132715e+01,3.936328e-01,2.1835e-01,9.5040e-02,5.9596e-05
168,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0231.fits",0.000000e+00,2.190394e-02,8.349766e-02,0.000000e+00,0.000000e+00,1482,1.0832e-03,1.5699e-03,1.7345e+00,2.7712e+00,4.6691e-01,6.4043e+01,7.9717e+01,4.759288e-02,1.555843e-03,1.5621e-03,9.0782e-01,1480,1.2358e-03,2.778650e+03,4.070801e+04,2.253866e+01,4.021958e-01,1.8645e-01,9.4489e-02,5.2698e-05
169,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0232.fits",0.000000e+00,2.250982e-02,8.329137e-02,0.000000e+00,0.000000e+00,1479,1.0824e-03,1.5684e-03,1.7297e+00,2.7580e+00,4.6512e-01,6.4250e+01,7.9781e+01,4.751658e-02,1.553542e-03,1.5606e-03,9.0761e-01,1473,1.2337e-03,2.772498e+03,4.048512e+04,2.317416e+01,4.293267e-01,1.8473e-01,9.7738e-02,5.6597e-05
170,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0233.fits",0.000000e+00,1.712420e-02,8.455883e-02,0.000000e+00,0.000000e+00,1225,1.0817e-03,1.5682e-03,1.7331e+00,3.2332e+00,5.2081e-01,6.4498e+01,7.9856e+01,4.737926e-02,1.552321e-03,1.5575e-03,9.0860e-01,1222,1.2327e-03,2.788106e+03,4.811196e+04,1.748603e+01,2.911173e-01,1.9995e-01,7.8973e-02,5.4400e-05
171,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0234.fits",0.000000e+00,2.400651e-02,8.359872e-02,0.000000e+00,0.000000e+00,1552,1.0813e-03,1.5674e-03,1.7296e+00,2.6736e+00,5.0389e-01,6.5093e+01,8.0036e+01,4.737926e-02,1.549274e-03,1.5573e-03,9.0735e-01,1551,1.2418e-03,2.771725e+03,3.923615e+04,2.464563e+01,4.653423e-01,2.0659e-01,1.1557e-01,5.9975e-05
172,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0235.fits",0.000000e+00,2.137550e-02,8.424487e-02,0.000000e+00,0.000000e+00,1453,1.0827e-03,1.5685e-03,1.7299e+00,2.8277e+00,4.7620e-01,6.5300e+01,8.0098e+01,4.730297e-02,1.549871e-03,1.5564e-03,9.0758e-01,1448,1.2325e-03,2.780954e+03,4.217207e+04,2.188820e+01,3.876486e-01,1.9504e-01,1.0747e-01,5.7655e-05
173,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_L_60.00_0236.fits",0.000000e+00,2.264048e-02,8.473260e-02,0.000000e+00,0.000000e+00,1512,1.0788e-03,1.5647e-03,1.7316e+00,2.7559e+00,5.0051e-01,6.5550e+01,8.0172e+01,4.724192e-02,1.548465e-03,1.5545e-03,9.0704e-01,1508,1.2347e-03,2.785542e+03,4.058103e+04,2.303380e+01,4.128192e-01,2.0857e-01,1.1695e-01,5.9132e-05
