SubframeSelector module version 1.9.1
Subframe Scale,0.80000
Camera Gain,1.00000
Camera Resolution,"16-bit [0,65535]"
Site Local Midnight,24
Scale Unit,"Arcseconds (arcsec)"
Data Unit,"Normalized to [0,1]"
Trimming Factor,0.10
Structure Layers,5
Noise Layers,0
Hot Pixel Filter Radius,1
Noise Reduction Filter Radius,0
Sensitivity,0.50000
Peak Response,0.500
Maximum Star Distortion,0.600
Upper Limit,1.000
Pedestal,0
Subframe Region,0,0,0,0
PSF Type,"Moffat beta = 4"
Circular PSF,false
Approval expression,""
Weighting expression,""
Index,Approved,Locked,File,Weight,PSF Signal Weight,PSF SNR,PSF Scale,PSF Scale SNR,PSF Count,M*,N*,SNR,FWHM,Eccentricity,Altitude,Azimuth,Median,Median Mean Deviation,Noise,Noise Ratio,Stars,Star Residual,PSF Total Flux,PSF Total Power Flux,PSF Total Mean Flux,PSF Total Mean Power Flux,FWHM Mean Deviation,Eccentricity Mean Deviation,Star Residual Mean Deviation
21,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0078.fits",0.000000e+00,5.855308e-03,1.261789e-02,0.000000e+00,0.000000e+00,888,4.5440e-04,6.5756e-04,1.2831e+00,2.2471e+00,4.9328e-01,6.7072e+01,8.0617e+01,1.483177e-02,5.651087e-04,6.6703e-04,9.4922e-01,885,5.2534e-04,4.612452e+02,2.224663e+03,6.501906e+00,5.679330e-02,9.3917e-02,1.0275e-01,2.1488e-05
22,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0079.fits",0.000000e+00,5.839165e-03,1.257701e-02,0.000000e+00,0.000000e+00,876,4.5440e-04,6.5719e-04,1.2909e+00,2.2618e+00,4.8680e-01,6.8125e+01,8.0914e+01,1.481651e-02,5.645429e-04,6.6603e-04,9.4923e-01,877,5.2780e-04,4.598032e+02,2.219724e+03,6.494491e+00,5.793515e-02,9.7729e-02,9.2992e-02,2.2073e-05
23,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0080.fits",0.000000e+00,5.665675e-03,1.314130e-02,0.000000e+00,0.000000e+00,858,4.5309e-04,6.5566e-04,1.2881e+00,2.3615e+00,4.7632e-01,6.9175e+01,8.1202e+01,1.477073e-02,5.632516e-04,6.6451e-04,9.4909e-01,858,5.2286e-04,4.689329e+02,2.308414e+03,6.147102e+00,5.316401e-02,9.6366e-02,1.0198e-01,2.0571e-05
24,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0081.fits",0.000000e+00,6.784005e-03,1.262068e-02,0.000000e+00,0.000000e+00,944,4.5398e-04,6.5680e-04,1.2828e+00,2.0927e+00,4.7957e-01,7.0236e+01,8.1483e+01,1.478599e-02,5.633549e-04,6.6521e-04,9.4884e-01,943,5.2659e-04,4.600360e+02,2.145532e+03,7.525394e+00,7.293915e-02,1.0406e-01,9.9543e-02,2.2729e-05
25,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0082.fits",0.000000e+00,6.841358e-03,1.273657e-02,0.000000e+00,0.000000e+00,918,4.5378e-04,6.5610e-04,1.2822e+00,2.1073e+00,4.6561e-01,7.1292e+01,8.1750e+01,1.478599e-02,5.633113e-04,6.6485e-04,9.4887e-01,915,5.2583e-04,4.618917e+02,2.194973e+03,7.551154e+00,7.617267e-02,9.5009e-02,1.1213e-01,2.2747e-05
26,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0083.fits",0.000000e+00,6.449752e-03,1.326537e-02,0.000000e+00,0.000000e+00,909,4.5174e-04,6.5394e-04,1.2872e+00,2.1964e+00,4.7114e-01,7.2357e+01,8.2006e+01,1.472495e-02,5.614522e-04,6.6263e-04,9.4881e-01,907,5.2574e-04,4.698092e+02,2.269716e+03,6.944173e+00,6.413115e-02,1.0163e-01,9.3647e-02,2.2864e-05
27,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0084.fits",0.000000e+00,7.095639e-03,1.350200e-02,0.000000e+00,0.000000e+00,946,4.5070e-04,6.5223e-04,1.2875e+00,2.1232e+00,6.0532e-01,7.3848e+01,8.2337e+01,1.470969e-02,5.608860e-04,6.6194e-04,9.4819e-01,944,5.2776e-04,4.734851e+02,2.241390e+03,7.554970e+00,7.412090e-02,1.4816e-01,8.7222e-02,2.4821e-05
28,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0085.fits",0.000000e+00,6.386227e-03,1.293404e-02,0.000000e+00,0.000000e+00,897,4.5171e-04,6.5388e-04,1.2861e+00,2.2308e+00,5.1127e-01,7.4901e+01,8.2547e+01,1.474020e-02,5.616936e-04,6.6284e-04,9.4887e-01,898,5.2817e-04,4.640549e+02,2.209684e+03,6.962801e+00,6.628689e-02,1.4182e-01,1.0677e-01,2.3149e-05
29,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0086.fits",0.000000e+00,8.899173e-03,1.335002e-02,0.000000e+00,0.000000e+00,1068,4.4923e-04,6.5024e-04,1.2815e+00,1.8666e+00,5.0006e-01,7.5973e+01,8.2737e+01,1.464866e-02,5.584250e-04,6.5939e-04,9.4774e-01,1066,5.2130e-04,4.689997e+02,2.049571e+03,9.497817e+00,1.045785e-01,1.3019e-01,1.1916e-01,2.3550e-05
30,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0087.fits",0.000000e+00,7.694178e-03,1.362917e-02,0.000000e+00,0.000000e+00,994,4.4756e-04,6.4777e-04,1.2715e+00,2.0047e+00,5.0952e-01,7.7045e+01,8.2895e+01,1.458762e-02,5.561019e-04,6.5651e-04,9.4773e-01,992,5.2400e-04,4.718141e+02,2.193579e+03,8.097059e+00,7.940089e-02,1.1246e-01,1.1662e-01,2.4039e-05
31,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0088.fits",0.000000e+00,7.219808e-03,1.429367e-02,0.000000e+00,0.000000e+00,959,4.4613e-04,6.4602e-04,1.2879e+00,2.1181e+00,4.5116e-01,7.8124e+01,8.3016e+01,1.455710e-02,5.557790e-04,6.5584e-04,9.4740e-01,957,5.1539e-04,4.826854e+02,2.310634e+03,7.395458e+00,6.831778e-02,1.2520e-01,9.0113e-02,2.2118e-05
32,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0089.fits",0.000000e+00,6.652918e-03,1.417156e-02,0.000000e+00,0.000000e+00,918,4.4715e-04,6.4728e-04,1.2893e+00,2.2363e+00,5.8670e-01,7.9179e+01,8.3086e+01,1.458762e-02,5.569132e-04,6.5695e-04,9.4803e-01,917,5.1621e-04,4.814291e+02,2.365468e+03,6.859721e+00,6.205333e-02,1.2202e-01,7.4851e-02,2.1132e-05
33,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0090.fits",0.000000e+00,7.986082e-03,1.405326e-02,0.000000e+00,0.000000e+00,1033,4.4755e-04,6.4761e-04,1.2896e+00,1.9632e+00,5.1115e-01,8.0252e+01,8.3092e+01,1.458762e-02,5.569035e-04,6.5704e-04,9.4738e-01,1030,5.1998e-04,4.794784e+02,2.181790e+03,8.276311e+00,7.885827e-02,1.0504e-01,1.1227e-01,2.4532e-05
34,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0091.fits",0.000000e+00,7.809986e-03,1.449299e-02,0.000000e+00,0.000000e+00,981,4.4610e-04,6.4584e-04,1.2878e+00,2.0973e+00,5.4531e-01,8.1324e+01,8.3007e+01,1.455710e-02,5.559243e-04,6.5564e-04,9.4735e-01,979,5.1996e-04,4.858914e+02,2.289496e+03,7.944184e+00,7.915767e-02,1.2253e-01,1.1175e-01,2.3034e-05
35,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0092.fits",0.000000e+00,8.474930e-03,1.477393e-02,0.000000e+00,0.000000e+00,1018,4.4425e-04,6.4305e-04,1.2925e+00,2.0038e+00,4.7561e-01,8.2372e+01,8.2803e+01,1.449607e-02,5.537483e-04,6.5301e-04,9.4627e-01,1015,5.1757e-04,4.886080e+02,2.295384e+03,8.502811e+00,8.691577e-02,1.1789e-01,1.0977e-01,2.2880e-05
36,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0093.fits",0.000000e+00,8.429114e-03,1.483946e-02,0.000000e+00,0.000000e+00,1018,4.4421e-04,6.4304e-04,1.2868e+00,1.9969e+00,4.8224e-01,8.3423e+01,8.2417e+01,1.448081e-02,5.534399e-04,6.5255e-04,9.4670e-01,1014,5.1569e-04,4.893440e+02,2.303660e+03,8.437354e+00,8.443105e-02,1.1468e-01,1.0201e-01,2.2477e-05
37,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0094.fits",0.000000e+00,8.054459e-03,1.519428e-02,0.000000e+00,0.000000e+00,1008,4.4496e-04,6.4413e-04,1.2896e+00,2.0913e+00,5.0229e-01,8.4472e+01,8.1749e+01,1.452659e-02,5.550085e-04,6.5401e-04,9.4664e-01,1007,5.1684e-04,4.962715e+02,2.399701e+03,7.981120e+00,7.716471e-02,1.0331e-01,1.0952e-01,2.1706e-05
38,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0095.fits",0.000000e+00,8.866290e-03,1.498595e-02,0.000000e+00,0.000000e+00,1021,4.4389e-04,6.4257e-04,1.2919e+00,1.9990e+00,4.8287e-01,8.5554e+01,8.0550e+01,1.449606e-02,5.538643e-04,6.5287e-04,9.4646e-01,1021,5.1855e-04,4.919969e+02,2.327529e+03,8.825272e+00,9.472805e-02,1.1162e-01,1.0959e-01,2.4501e-05
39,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_B_30.00_0098.fits",0.000000e+00,8.981249e-03,1.312627e-02,0.000000e+00,0.000000e+00,1087,4.4688e-04,6.4697e-04,1.2838e+00,1.8763e+00,5.2115e-01,8.9072e+01,4.8139e+01,1.458762e-02,5.565021e-04,6.5667e-04,9.4625e-01,1084,5.2204e-04,4.631374e+02,1.717437e+03,9.616191e+00,1.043924e-01,1.1521e-01,9.4309e-02,2.4301e-05
