----------------------------------------------------------------------
--------------N.I.N.A. - Nighttime Imaging 'N' Astronomy--------------
--------------------------Version 3.1.2.9001--------------------------
-------------------------2025-07-12T22:46:29--------------------------
----------------------------------------------------------------------
---------------------Microsoft Windows 10.0.26100---------------------
-------------------------OS Architecture X64--------------------------
-----------------------Process Architecture X64-----------------------
------------------------------.NET 8.0.8------------------------------
----------------------------------------------------------------------
--------------------------Processor Count 4---------------------------
--------------------Total Physical Memory 7.75 GB---------------------
----------------------------------------------------------------------
DATE|LEVEL|SOURCE|MEMBER|LINE|MESSAGE
2025-07-12T22:47:33.0182|INFO|DomeChooserVM.cs|GetEquipment|67|Found 0 Alpaca Domes
2025-07-12T22:47:33.0601|INFO|TelescopeChooserVM.cs|GetEquipment|69|Found 0 Alpaca Telescopes
2025-07-12T22:47:33.1490|INFO|RotatorChooserVM.cs|GetEquipment|68|Found 0 Alpaca Rotators
2025-07-12T22:47:33.2720|INFO|CameraChooserVM.cs|GetEquipment|290|Found 0 Alpaca Cameras
2025-07-12T22:47:33.2765|INFO|CameraChooserVM.cs|GetEquipment|303|Found 0 Canon Cameras
2025-07-12T22:47:57.3143|INFO|CameraVM.cs|Disconnect|645|Disconnected Camera
2025-07-12T22:47:58.8195|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_WB_B with value 50
2025-07-12T22:47:58.8196|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_WB_R with value 50
2025-07-12T22:47:58.8197|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_GAMMA with value 50
2025-07-12T22:47:58.9098|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_OVERCLOCK with value 0
2025-07-12T22:47:58.9100|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_PATTERN_ADJUST with value 0
2025-07-12T22:47:58.9106|WARNING|ASICamera.cs|SetControlValue|583|Failed to set ASI Control Value ASI_MONO_BIN with value 0
2025-07-12T22:47:58.9121|INFO|ASICamera.cs|Initialize|677|Camera ID: 
2025-07-12T22:47:58.9900|INFO|CameraVM.cs|ChooseCamera|448|Successfully connected Camera. Id: ZWO ASI2600MM Pro Name: ZWO ASI2600MM Pro DisplayName: ZWO ASI2600MM ProDriver Version: 1, 36, 0, 0
2025-07-12T22:47:58.9956|INFO|FilterWheelVM.cs|Disconnect|324|Disconnected Filter Wheel
2025-07-12T22:47:59.7569|INFO|FilterWheelVM.cs|ChooseFW|272|Successfully connected Filter Wheel. Id: EFW #0 Name: EFW DisplayName: EFW Driver Version: 1.0
2025-07-12T22:47:59.7712|INFO|TelescopeVM.cs|Disconnect|763|Disconnected mount
