DATE,MESSAGE,ROLE,EVENT_ID,TYPE
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,57,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,59,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,59,end
45859.98,"Starting Category: Guider, Item: StartGuiding",StartGuiding,61,start
45859.98,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,61,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,62,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,62,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,63,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,63,end
45859.98,"Starting Category: Guider, Item: StartGuiding",StartGuiding,65,start
45859.98,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,65,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,66,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,66,end
45859.98,"Starting Category: Guider, Item: Dither",Dither,67,start
45859.98,"Finishing Category: Guider, Item: Dither",Dither,67,end
45859.98,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,69,start
45859.98,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,69,end
45859.98,"Starting Category: Guider, Item: StartGuiding",StartGuiding,71,start
45859.98,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,71,end
45859.98,"Starting Category: Focuser, Item: RunAutofocus",RunAutofocus,73,start
45859.99,"Finishing Category: Focuser, Item: RunAutofocus",RunAutofocus,73,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,74,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,74,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: R",SwitchFilter,76,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: R",SwitchFilter,76,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,78,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,78,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,79,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,79,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: G",SwitchFilter,81,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: G",SwitchFilter,81,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,83,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,83,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,84,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,84,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: B",SwitchFilter,86,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: B",SwitchFilter,86,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,88,start
